"rank","taxon_gp","taxon","description","exclusion_reason","exclusion_exception"
3,"family","Cerambycidae","borer beetles","non-aquatic",0
3,"family","Ptiliidae","featherwing beetles","non-aquatic",0
3,"family","Scarabaeidae","scarab beetles","non-aquatic",0
3,"family","Tachinidae","terrestrial flies","non-aquatic",0
3,"family","Cicadidae","cicadas","non-aquatic",0
3,"family","Cydnidae","burrower bugs","non-aquatic",0
3,"family","Depressariidae","terrestrial moths","non-aquatic",0
3,"family","Geometridae","terrestrial moths","non-aquatic",0
3,"family","Psychidae","terrestrial moths","non-aquatic",0
3,"family","Peripsocidae","lice","non-aquatic",0
3,"family","Atemnidae","scorpions","non-aquatic",0
3,"family","Coccinellidae","ladybugs","non-aquatic",0
3,"family","Eucnemidae","false click beetles","non-aquatic",0
3,"family","Lucanidae","stag beetles","non-aquatic",0
3,"family","Mycetophagidae","hairy fungus beetles","non-aquatic",0
3,"family","Conopidae","thick-headed flies","non-aquatic",0
3,"family","Platystomatidae","signal flies","non-aquatic",0
3,"family","Sphaeroceridae","small dung flies","non-aquatic",0
3,"family","Tephritidae","fruit flies","non-aquatic",0
3,"family","Oligotomidae","web spinners","non-aquatic",0
3,"family","Fulgoroidea_incertae_sedis","plant hoppers","non-aquatic",0
3,"family","Polyplacidae","sucking lice","non-aquatic",0
3,"family","Leptopsyllidae","fleas","non-aquatic",0
3,"family","Diogenidae","hermit crabs","marine",0
3,"family","Mysidae","opossum shrimps","marine",0
3,"family","Celleporidae","bryozoans","marine",0
3,"family","Nephtheidae","soft corals","marine",0
3,"family","Corynidae","jellyfish","marine",0
3,"family","Rhopalonematidae","jellyfish","marine",0
3,"family","Hiatellidae","clam","marine",0
3,"family","Muricidae","marine snail","marine",0
3,"family","Phoridae","terrestrial flies","non-aquatic, although some aquatic larvae are possible: none known in Aus",0
3,"family","Stenostomidae","micro-flatworms","micro",0
3,"family","Curculionidae","weevils","terrestrial except Listronotus (the only aquatic weevil genus of the three identified in the melbourne data to date), included below",0
3,"family","Syrphidae","hoverflies","MDFRC say that the only aquatic genus of this family is Eristalis, included below",0
3,"family","Sparganophilidae","mud-dwelling earthworms","terrestrial",0
3,"family","Plectonemertidae","land nemerteans","terrestrial",0
3,"family","Ixodidae","hard/scale ticks","terrestrial",0
3,"family","Anthicidae","flower beetles","terrestrial",0
3,"family","Byrrhidae","pill beetles","terrestrial",0
3,"family","Corylophidae","Bark/fungus beetles","terrestrial",0
3,"family","Dermestidae","skin beetles","terrestrial",0
3,"family","Elateridae","click beetles","terrestrial",0
3,"family","Leiodidae","fungus beetles","terrestrial",0
3,"family","Melyridae","soft-winged flower beetles","terrestrial",0
3,"family","Nitidulidae","sap beetles","terrestrial",0
3,"family","Oedemeridae","false blister beetles","terrestrial",0
3,"family","Ptinidae","borers, coleoptera","terrestrial",0
3,"family","Tenebrionidae","dark beetles","terrestrial",0
3,"family","Anthomyzidae","flies found in moist habitats but not aquatic","terrestrial",0
3,"family","Bibionidae","march flies","terrestrial",0
3,"family","Chloropidae","frit/grass flies","terrestrial",0
3,"family","Heleomyzidae","flies","terrestrial",0
3,"family","Hybotidae","dance flies","terrestrial",0
3,"family","Keroplatidae","fungus gnats","terrestrial",0
3,"family","Lauxaniidae","acalyptrate flies","terrestrial",0
3,"family","Lonchopteridae","spear-winged flies","terrestrial",0
3,"family","Mydidae","mydas flies","terrestrial",0
3,"family","Trichoceridae","larvae found in 'moist' habitats, but not aquatic","terrestrial",0
3,"family","Achilidae","planthoppers bugs","terrestrial",0
3,"family","Anthocoridae","flower bugs","terrestrial",0
3,"family","Aphrophoridae","spittle bugs","terrestrial",0
3,"family","Ceratocombidae","litter bugs","terrestrial",0
3,"family","Dictyopharidae","planthoppers bugs","terrestrial",0
3,"family","Hyocephalidae","coreoid bugs","terrestrial",0
3,"family","Lygaeidae","milkweed/seed/ground bugs","terrestrial",0
3,"family","Machaerotidae","bugs","terrestrial",0
3,"family","Miridae","bugs","terrestrial",0
3,"family","Nabidae","damsel bugs","terrestrial",0
3,"family","Pyrrhocoridae","red bugs","terrestrial",0
3,"family","Rhyparochromidae","bugs","terrestrial",0
3,"family","Saldidae","semi-aquatic shore bugs...in the bug database, but really only semi-aquatic","terrestrial",0
3,"family","Armadillidiidae","Isopoda, wood lice","terrestrial",0
3,"family","Scutigerellidae","pseudo-centipedes","terrestrial",0
3,"family","Rhytididae","Land snails","terrestrial",0
3,"family","Eriophyidae","plant parasite mites","terrestrial",0
3,"family","Staphylininae","rove beetles","terrrestrial",0
3,"family","Arcitalitridae","terrestrial amphipods","terrestrial",0
3,"family","Cystopeltidae","Air-breathing land slugs","terrestrial",0
3,"family","Hemerobiidae","terrestrial family of Lacewings (Neuroptera)","terrestrial",0
3,"family","Coniopterygidae","terrestrial family of Lacewings (Neuroptera)","terrestrial",0
3,"family","Mordellidae","Tumbling flower beetles","terrestrial",0
3,"family","Ulodidae","Mycophagous beetles","terrestrial",0
3,"family","Pyrochroidae","Fire-coloured beetles","terrestrial",0
3,"family","Phalacridae","Shining flower beetles","terrestrial",0
3,"family","Pentatominae","Shield bugs","terrestrial",0
3,"family","Eriococcidae","Scale insects","terrestrial",0
3,"family","Peripatopsidae","Velvet worms","terrestrial",0
3,"family","Strigeidae","Trematodes","parasitic, micro",0
3,"family","Notocotylidae","Trematodes","parasitic, micro",0
3,"family","Microstomidae","flatworms","likely aquatic, but micro",0
3,"family","Ostreidae","Oysters","marine",0
3,"family","Anystidae","Whirligig mites","likely terrestrial",0
3,"family","Anthomyiidae","Muscoid flies","terrestrial",0
3,"family","Microtrombidiidae","Velvet mites","mainly terrestrial or parasitic",0
3,"family","Punctidae","dot snails","terrestrial",0
3,"family","Acanthosomatidae","shield bugs","terrestrial",0
3,"family","Coccidae","scale insects","terrestrial",0
3,"family","Diaspididae","scale insects","terrestrial",0
3,"family","Eupodidae","Trombidiform mites","probably terrestrial",0
3,"family","Triophtydeidae","Tydeoid mites","probably terrestrial",0
3,"family","Enchytraeidae","Partly terrestrial oligochaete family","Many terrestrial species (definitely aquatic taxa included below)",0
4,"genus","Paropsisterna","leaf beetles","non-aquatic",0
4,"genus","Melanterius","flower weevil (?)","non-aquatic",0
4,"genus","Meliscaeva","terrestrial hoverfly (?)","non-aquatic",0
4,"genus","Dasysyrphus","terrestrial hoverfly","non-aquatic",0
4,"genus","Cartodere","terrestrial beetle","non-aquatic",0
4,"genus","Rhopalosiphum","aphid","non-aquatic",0
4,"genus","Bimastus","terrestrial lumbricid earthworms","non-aquatic",0
4,"genus","Aporrectodea","terrestrial lumbricid earthworms","non-aquatic",0
4,"genus","Dendrobaena","terrestrial lumbricid earthworms","non-aquatic",0
4,"genus","Lumbricus","terrestrial lumbricid earthworms","non-aquatic",0
4,"genus","Octolasion","terrestrial lumbricid earthworms","non-aquatic",0
4,"genus","Mecyclothorax","terrestrial Carabid beetle","terrestrial",0
4,"genus","Xanthogaleruca","Elm-leaf Chrysomelid beetle","terrestrial",0
4,"genus","Thyreocephalus","rove beetle","terrestrial genus of Staphylinidae",0
4,"genus","Eisenia","earthworms","terrestrial",0
4,"genus","Pterostichus","ground beetle","terrestrial",0
4,"genus","Paederus","Rove beetles","terrestrial",0
4,"genus","Spanioda","terrestrial staphylinids","terrestrial",0
5,"species","Arcitalitrus sylvaticus","land hopper (terrestrial amphipod)","non-aquatic",0
5,"species","Rhopalosiphum padi","aphid","non-aquatic",0
5,"species","Apis mellifera","honey bee","non-aquatic",0
5,"species","Eiseniella tetraedra","semi-aquatic square-tailed Lumbricid worm","semi-aquatic",0
3,"family","Hydrozetidae","Aquatic oribatid mites","NOT excluded: sole fully aquatic family in order Sarcoptiformes (Harvey, Australian Water Mites, 1998)",1
3,"family","Crambidae","aquatic moths","NOT EXCLUDED: aquatic family",1
4,"genus","Trimalaconothrus","Aquatic crotonioid mites","NOT excluded: sole fully aquatic genus in family Malaconothridae, order Sarcoptiformes",1
4,"genus","Listronotus","aquatic weevil","NOT EXCLUDED: aquatic genus",1
4,"genus","Eristalis","aquatic hoverfly","NOT EXCLUDED: aquatic genus",1
4,"genus","Platynothrus","aquatic sarcoptiform oribatid mite genus","NOT EXCLUDED: aquatic genus",1
4,"genus","Cognettia","aquatic Enchytraeid oligochaetes","NOT EXCLUDED: aquatic genus",1
4,"genus","Chamaedrilus","aquatic Enchytraeid oligochaetes","NOT EXCLUDED: aquatic genus",1
5,"species","Lumbricillus semifuscus","aquatic Enchytraeid oligochaetes","NOT EXCLUDED: aquatic species",1
5,"species","Globulidrilus riparius","aquatic Enchytraeid oligochaetes","NOT EXCLUDED: aquatic species",1
5,"species","Lumbricillus variegatus","aquatic Enchytraeid oligochaetes","NOT EXCLUDED: aquatic species",1
5,"species","Marionina argentea","aquatic Enchytraeid oligochaetes","NOT EXCLUDED: aquatic species",1
5,"species","Cernosvitoviella aggtelekiensis","aquatic Enchytraeid oligochaetes","NOT EXCLUDED: aquatic species",1
5,"species","Cernosvitoviella microtheca","aquatic Enchytraeid oligochaetes","NOT EXCLUDED: aquatic species",1
